"name","review","grade"
"동보성",2,4.5
"커피빈",3,4
"밴드오브브루워스",3,4.5
"왕십리야채곱창",2,5
"포즈키친",5,3.5
"삼백집",4,4
"양촌리",6,3.5
"소브스위드살몬",2,5
"정고기",3,4.5
"쪼가리포차",2,5
"큰물참치",3,4.5
"인간중심",2,5
"란수사",3,4.5
"스터번",3,4
"뚝배기황태칼국수",2,4.5
"LA북창동순두부",3,4.5
"한스",2,4.5
"깐부치킨",3,4.5
"핫썬치킨",2,4.5
"고냉지김치찌개김치삼겹살",2,4.5
"파스텔드나따",2,4.5
"한옥집김치찜 - 논현점",3,4
"전주콩뿌리콩나물국밥",3,4.5
"카페피노사",2,5
"원스인어블루문",3,4.5
"바보네집",2,4.5
"GINY",2,5
"스트릿츄러스",3,4.5
"강릉집",2,5
"투썸플레이스",2,4.5
"커피빈",2,4.5
"대장금",2,5
"국수나무",3,4
"노랑통닭",5,3.5
"파리바게뜨",2,4.5
"투뿔등심",2,4.5
"히까리",4,4
"탐앤탐스",2,5
"ALICEBAR",3,4
"본죽",4,4
"그랑아",2,5
"기다스시",3,4.5
"후꾸짱",2,5
"취영루",4,4
"포 베이 압구정 본점",12,3.5
"더비스트로",2,5
"압구정고로케",2,5
"라토크",2,4.5
"이디야커피",3,4
"토크 서비스",3,5
"루이쌍끄",2,5
"교토일식",2,5
"스시몬",2,5
"담담",3,4.5
"홍가네해물떡찜",2,5
"세븐스프링스",3,4.5
"대게나라",3,4
"백암왕순대순대국",2,4.5
"노산마백숙",2,5
"파리바게뜨",2,4.5
"김이박부대찌개",2,4.5
"본죽",3,4
"투썸플레이스",5,3.5
"엔제리너스 커피 신논현역점",13,3.5
"소프트리",2,4.5
"705스시앤사시미",3,4.5
"커피빈",2,4.5
"크리스피크림도넛",2,4.5
"김가네김밥",2,4.5
"꼴라메르까토",3,4.5
"전통백암순대국",2,4.5
"버거킹 청담점",3,4
"BBQ치킨",2,4.5
"하남돼지집",2,4.5
"광양불고기",2,4.5
"우노",2,4.5
"와후진",2,4.5
"프랑스에다녀온붕어빵",2,5
"선릉김밥",4,4
"키즈앤맘",2,4.5
"기꾸스시",3,4
"생태사랑",2,4.5
"닭한마리",3,4.5
"테이블스타",9,3.5
"록키마운틴초콜릿팩토리",4,4
"아브라카다브라",2,4.5
"주지육림",2,4.5
"포베이",2,4.5
"개화옥 가로수길점",10,3.5
"계절미각",2,5
"가야",2,4.5
"오뗄두스",3,4.5
"모던밥상",3,4.5
"네모오징어",3,4
"보쌈마을",2,4.5
"예향",3,4
"별양집",2,4.5
"파리바게뜨",2,4.5
"보름달",2,5
"크림팝",3,4
"귀신반점",3,4
"맥도날드",2,4.5
"포메인",3,4
"리틀사이공",2,4.5
"오륙도",2,5
"해찬솔",2,5
"미쓰양꼬치",2,4.5
"TWGTEASALON",3,4.5
"라운드",3,4
"라운드",3,4
"베키아에누보",3,4.5
"명동할머니국수",2,4.5
"커피빈",2,4.5
"마구로젠",2,4.5
"호면당",3,4
"하나샤브정",2,4.5
"가장맛있는족발",2,4.5
"예림",2,4.5
"요시노베란다",3,4.5
"곰스603",2,4.5
"어부5가",3,4.5
"한국교자",2,4.5
"고향집",3,4
"에이림",2,5
"바우골",2,4.5
"남대문황금족발",2,4.5
"크로와상타이야끼",2,5
"교토가츠규 - 삼성오크우드점",2,4.5
"스시산원",2,5
"버거킹",4,4
"먼데이투선데이",2,4.5
"새로나호프",2,4.5
"채선당",4,4
"삼정하누",3,4.5
"ㅍㅣㄱㅡ닉",3,4.5
"워커힐비자비뷔페",2,5
